POCO,BACIA,LATITUDE,LONGITUDE,TDEP,COT,,,
n/a,n/a,SIRGAS2000,SIRGAS2000,m,%,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5427,0.62,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5439,0.624,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5448,0.654,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5460,0.622,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5496,0.42,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5499,0.43,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5505,0.48,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5508,0.451,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5511,0.435,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5514,0.45,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5520,0.393,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5523,0.39,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5526,0.35,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5529,0.29,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5532,0.281,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5538,0.29,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5541,0.26,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5544,0.29,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5550,0.292,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5553,0.285,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5556,0.271,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5562,0.26,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5565,0.28,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5568,0.27,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5595,0.27,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5301,0.488,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5322,0.427,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5325,0.407,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5331,0.329,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5334,0.361,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5340,0.351,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5358,0.381,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5385,0.55,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5388,0.554,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5394,0.553,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5397,0.53,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5403,0.56,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5409,0.57,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5412,0.61,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5535,0.283,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5547,0.3,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5559,0.3,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5316,0.567,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5319,0.598,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5328,0.47,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5355,0.522,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5382,0.532,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5436,0.63,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5313,0.677,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5361,0.441,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5367,0.49,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5310,0.822,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5364,0.479,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5370,0.494,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5373,0.566,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5376,0.51,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5379,0.54,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5304,1.08,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5307,1.11,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5586,0.27,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",5301,1.09,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",4389,0.946,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",4389,0.973,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",4392,0.978,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",4398,0.995,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",4395,1.01,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",3219,1.11,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",3795,0.725,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",3861,0.903,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",3174,1.23,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",3216,1.21,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",3216,1.16,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",3252,1.08,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",3252,1.07,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",3255,1.13,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",3279,1.36,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",3282,1.34,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",3324,1.12,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",3324,1.1,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",3327,1.09,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",3348,0.814,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",3366,1.11,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",3369,1.02,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",3387,1.25,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",3387,1.27,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",3390,1.28,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",3561,0.902,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",3564,0.901,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",3774,0.557,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",3783,0.468,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",3786,0.471,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",3792,0.613,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",3807,0.988,,,
1-BRSA-124-RJS,SANTOS,"-24,3875925","-43,0787119444",3810,0.982,,,
