Mnemonics_Arquivos,Mnemonics_Variaveis,long_name,Descricao,Unidade,Data Atualização
,IYC_LS,Rendimento relativo do carbono  inelástico,Rendimento relativo do carbono  inelástico,Adimensional,NaT
,IYC_SIG,Incerteza do Rendimento relativo do carbono  inelástico,Incerteza do Rendimento relativo do carbono  inelástico,Adimensional,NaT
,IYC_SIG_INCP,Incerteza do Rendimento relativo do carbono  inelástico (filtrado e corrigido para Input do processamento INCP),Incerteza do Rendimento relativo do carbono  inelástico (filtrado e corrigido para Input do processamento INCP),Adimensional,NaT
,IYC_SIG_LS,Incerteza do Rendimento relativo do carbono  inelástico,Incerteza do Rendimento relativo do carbono  inelástico,Adimensional,NaT
,IYCA,Rendimento relativo do cálcio  inelástico,Rendimento relativo do cálcio  inelástico,Adimensional,NaT
,IYCA_INCP,Rendimento relativo do cálcio  inelástico (filtrado e corrigido para Input do processamento INCP),Rendimento relativo do cálcio  inelástico (filtrado e corrigido para Input do processamento INCP),Adimensional,NaT
,IYCA_LS,Rendimento relativo do cálcio  inelástico,Rendimento relativo do cálcio  inelástico,Adimensional,NaT
,IYCA_SIG,Incerteza do Rendimento relativo do cálcio  inelástico,Incerteza do Rendimento relativo do cálcio  inelástico,Adimensional,NaT
,IYCA_SIG_INCP,Incerteza do Rendimento relativo do cálcio  inelástico (filtrado e corrigido para Input do processamento INCP),Incerteza do Rendimento relativo do cálcio  inelástico (filtrado e corrigido para Input do processamento INCP),Adimensional,NaT
,IYCA_SIG_LS,Incerteza do Rendimento relativo do cálcio  inelástico,Incerteza do Rendimento relativo do cálcio  inelástico,Adimensional,NaT
,IYCL,Rendimento relativo do cloro inelástico,Rendimento relativo do cloro inelástico,Adimensional,NaT
,IYCL_SIG,Incerteza do Rendimento relativo do cloro inelástico,Incerteza do Rendimento relativo do cloro inelástico,Adimensional,NaT
,IYDB,Rendimento relativo do detector de fundo inelástico,Rendimento relativo do detector de fundo inelástico,Adimensional,NaT
,IYDB_LS,Rendimento relativo do detector de fundo inelástico,Rendimento relativo do detector de fundo inelástico,Adimensional,NaT
,IYDB_SIG,Incerteza do Rendimento relativo do detector de fundo inelástico,Incerteza do Rendimento relativo do detector de fundo inelástico,Adimensional,NaT
,IYDB_SIG_LS,Incerteza do Rendimento relativo do detector de fundo inelástico,Incerteza do Rendimento relativo do detector de fundo inelástico,Adimensional,NaT
,IYFAL,Detecção de atividade reativa inelastica relativa a Alumínio detector distante,Detecção de atividade reativa inelastica relativa a Alumínio detector distante,Adimensional,NaT
,IYFAL_SIG,Incerteza na Detecção de atividade reativa inelastica relativa a Alumínio detector distante,Incerteza na Detecção de atividade reativa inelastica relativa a Alumínio detector distante,Adimensional,NaT
,IYFBA,Detecção de atividade reativa inelastica relativa a Bário detector distante,Detecção de atividade reativa inelastica relativa a Bário detector distante,Adimensional,NaT
,IYFBA_SIG,Incerteza na Detecção de atividade reativa inelastica relativa a Bário detector distante,Incerteza na Detecção de atividade reativa inelastica relativa a Bário detector distante,Adimensional,NaT
,IYFC,Detecção de atividade reativa inelastica relativa a  detector distante,Detecção de atividade reativa inelastica relativa a  detector distante,Adimensional,NaT
,IYFC_SIG,Incerteza na Detecção de atividade reativa inelastica relativa a  detector distante,Incerteza na Detecção de atividade reativa inelastica relativa a  detector distante,Adimensional,NaT
